trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,13,7.749330665480364,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,6,2.193101582360359,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",25,0,-65.84936595614943,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",30,20,-43.73432042713912,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",30,15,-3.0669576092083295,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,6,18.216778058131037,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,9,-43.36954395394371,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,0,-65.88920925743244,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,9,-10.761894360971127,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,10,21.709263422642046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",20,0,-5.40003960214582,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,10,-35.41086939748716,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,3,18.56121129497394,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",30,0,-46.02222884356305,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",30,20,5.743243917011269,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,8,8.735855147663809,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,9,-7.838032705619317,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",20,2,-6.368494719496577,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,10,-25.156977863834868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,0,33.08676617613881,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,17,2.5279009784294653,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,9,15.92058547882355,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",25,11,14.675043725729543,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,7,7.158419931491088,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",20,7,-9.784568959897067,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,13,9.892261447572471,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,15,6.543338211902131,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",25,11,-87.99824436569375,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",30,6,-45.426508982470516,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
